Country,Concept,LocalTerm,table_index,table_heading
Puerto Rico,Minero que extrae oro mediante el procedimiento del mazamorreo Gambusino,buscador de oro,8,Personas y oficios (6)
España,Persona que en un espectáculo público indica a los asistentes dónde deben sentarse Acomodador,"acomodador, ujier, aposentador",8,Personas y oficios (6)
Guatemala,Persona que en un espectáculo público indica a los asistentes dónde deben sentarse Acomodador,acomodador,8,Personas y oficios (6)
México,Persona que en un espectáculo público indica a los asistentes dónde deben sentarse Acomodador,"acomodador, ujier, guía, hostess",8,Personas y oficios (6)
Puerto Rico,Persona que en un espectáculo público indica a los asistentes dónde deben sentarse Acomodador,"ujier, acomodador",8,Personas y oficios (6)
España,Persona que se dedica a vigilar playas y otras zonas de baño para prestar ayuda a las personas que lo necesiten Socorrista acuático,"salvavidas, socorrista",9,Personas y oficios (7)
Guatemala,Persona que se dedica a vigilar playas y otras zonas de baño para prestar ayuda a las personas que lo necesiten Socorrista acuático,salvavidas,9,Personas y oficios (7)
México,Persona que se dedica a vigilar playas y otras zonas de baño para prestar ayuda a las personas que lo necesiten Socorrista acuático,"salvavidas, socorrista",9,Personas y oficios (7)
Puerto Rico,Persona que se dedica a vigilar playas y otras zonas de baño para prestar ayuda a las personas que lo necesiten Socorrista acuático,salvavidas,9,Personas y oficios (7)
España,Empleado de un hotel que va uniformado y se ocupa de los recados y otras pequeñas tareas que se le solicitan Botones,botones,9,Personas y oficios (7)
Guatemala,Empleado de un hotel que va uniformado y se ocupa de los recados y otras pequeñas tareas que se le solicitan Botones,botones,9,Personas y oficios (7)
México,Empleado de un hotel que va uniformado y se ocupa de los recados y otras pequeñas tareas que se le solicitan Botones,"botones, maletero, bellboy",9,Personas y oficios (7)
Puerto Rico,Empleado de un hotel que va uniformado y se ocupa de los recados y otras pequeñas tareas que se le solicitan Botones,"maletero, bellboy",9,Personas y oficios (7)
España,Hincha de fútbol que se caracteriza por su actitud violenta y su comportamiento destructivo Ultras (deporte),ultra,9,Personas y oficios (7)
Guatemala,Hincha de fútbol que se caracteriza por su actitud violenta y su comportamiento destructivo Ultras (deporte),fanático,9,Personas y oficios (7)
México,Hincha de fútbol que se caracteriza por su actitud violenta y su comportamiento destructivo Ultras (deporte),aficionado de la barra brava,9,Personas y oficios (7)
Puerto Rico,Hincha de fútbol que se caracteriza por su actitud violenta y su comportamiento destructivo Ultras (deporte),"fiebrú, hooligan",9,Personas y oficios (7)
España,Persona que narra en directo un evento deportivo Unnamed: 4_level_1,"comentarista deportivo, narrador deportivo",9,Personas y oficios (7)
Guatemala,Persona que narra en directo un evento deportivo Unnamed: 4_level_1,"narrador deportivo, comentarista deportivo",9,Personas y oficios (7)
México,Persona que narra en directo un evento deportivo Unnamed: 4_level_1,"comentarista deportivo, narrador deportivo",9,Personas y oficios (7)
Puerto Rico,Persona que narra en directo un evento deportivo Unnamed: 4_level_1,comentarista deportivo,9,Personas y oficios (7)
España,Hombre en edad infantil Infancia,"niño, crío, nene, chico, chiquillo, muchacho, chaval, criatura, mozo, churumbel, hermoso, rapaz (Galicia), guaje (Asturias)",10,Personas y oficios (8)
Guatemala,Hombre en edad infantil Infancia,"niño, nene, muchachito, patojo, güiro, chirís, ishto, ischoco",10,Personas y oficios (8)
México,Hombre en edad infantil Infancia,"niño, chico, chavo, chamaco, morro, nene, escuincle, huerco, plebe, chilpayate, lepe, chiquillo",10,Personas y oficios (8)
Puerto Rico,Hombre en edad infantil Infancia,"niño, nene, muchachito, chamaquito",10,Personas y oficios (8)
España,Mujer en edad infantil Infancia,"niña, nena, chica, quilla, chacha, chavala, moza, chinija (Lanzarote), rapaza (Galicia)",10,Personas y oficios (8)
Guatemala,Mujer en edad infantil Infancia,"niña, nena, muchachita, patoja, güira, ishta, ischoca",10,Personas y oficios (8)
México,Mujer en edad infantil Infancia,"niña, chica, chava, chamaca, nena, huerca, morrita, escuincla, plebe, chiquilla, chilpayata,lepa",10,Personas y oficios (8)
Puerto Rico,Mujer en edad infantil Infancia,"niña, nena, muchachita, chamaquita",10,Personas y oficios (8)
España,"Persona que, por oficio, conduce un automóvil Chofer","conductor,​ chófer​",10,Personas y oficios (8)
Guatemala,"Persona que, por oficio, conduce un automóvil Chofer","chofer, conductor",10,Personas y oficios (8)
México,"Persona que, por oficio, conduce un automóvil Chofer","chofer,​ conductor",10,Personas y oficios (8)
Puerto Rico,"Persona que, por oficio, conduce un automóvil Chofer","chofer, conductor",10,Personas y oficios (8)
España,"Persona que tiene a su cuidado la custodia, limpieza y llaves de un edificio o establecimiento público. Portero de edificio","portero, conserje, bedel",10,Personas y oficios (8)
Guatemala,"Persona que tiene a su cuidado la custodia, limpieza y llaves de un edificio o establecimiento público. Portero de edificio","conserje, portero",10,Personas y oficios (8)
México,"Persona que tiene a su cuidado la custodia, limpieza y llaves de un edificio o establecimiento público. Portero de edificio","conserje, portero, cuidador, encargado",10,Personas y oficios (8)
Puerto Rico,"Persona que tiene a su cuidado la custodia, limpieza y llaves de un edificio o establecimiento público. Portero de edificio","portero, conserje",10,Personas y oficios (8)
España,Persona que sirve en los bares y cafeterías. Camarero,camarero​,11,Personas y oficios (9)
Guatemala,Persona que sirve en los bares y cafeterías. Camarero,"mesero, camarero",11,Personas y oficios (9)
México,Persona que sirve en los bares y cafeterías. Camarero,mesero​,11,Personas y oficios (9)
Puerto Rico,Persona que sirve en los bares y cafeterías. Camarero,"mozo (mesera), mesero",11,Personas y oficios (9)
España,Mujer encargada de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,azafata​,11,Personas y oficios (9)
Guatemala,Mujer encargada de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,aeromoza,11,Personas y oficios (9)
México,Mujer encargada de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,"asistente de vuelo, aeromoza,​ azafata,​ sobrecargo",11,Personas y oficios (9)
Puerto Rico,Mujer encargada de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,azafata,11,Personas y oficios (9)
España,Hombre encargado de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,"sobrecargo,​ azafato, auxiliar/asistente de vuelo, tripulante de cabina",11,Personas y oficios (9)
Guatemala,Hombre encargado de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,"azafato, auxiliar de vuelo",11,Personas y oficios (9)
México,Hombre encargado de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,"asistente/auxiliar de vuelo, sobrecargo,​ aeromozo",11,Personas y oficios (9)
Puerto Rico,Hombre encargado de atender a los pasajeros a bordo de un avión. Auxiliar de vuelo,auxiliar de vuelo,11,Personas y oficios (9)
España,"Persona, generalmente joven, que cuida niños a domicilio mientras los padres se ausentan por poco tiempo y es retribuida por ello Niñera","niñera, canguro",11,Personas y oficios (9)
Guatemala,"Persona, generalmente joven, que cuida niños a domicilio mientras los padres se ausentan por poco tiempo y es retribuida por ello Niñera",niñera,11,Personas y oficios (9)
