Country,Concept,LocalTerm
España,"Asegurar con cerradura, pasador, pestillo, tranca u otro instrumento, una puerta, ventana, tapa, etc., para impedir que se abra","cerrar, trancar (Canarias), chapar (coloquial), fechar (Andalucía Occidental), candar"
Guatemala,"Asegurar con cerradura, pasador, pestillo, tranca u otro instrumento, una puerta, ventana, tapa, etc., para impedir que se abra",cerrar
México,"Asegurar con cerradura, pasador, pestillo, tranca u otro instrumento, una puerta, ventana, tapa, etc., para impedir que se abra","cerrar, cerrar con llave, echar llave, ponerle llave, atrancar"
Puerto Rico,"Asegurar con cerradura, pasador, pestillo, tranca u otro instrumento, una puerta, ventana, tapa, etc., para impedir que se abra","cerrar, trancar"
España,"Suspender, poner algo o a alguien sin que llegue al suelo","colgar, tender (la ropa)"
Guatemala,"Suspender, poner algo o a alguien sin que llegue al suelo","colgar, tender (la ropa)"
México,"Suspender, poner algo o a alguien sin que llegue al suelo","colgar, tender (la ropa)"
Puerto Rico,"Suspender, poner algo o a alguien sin que llegue al suelo","colgar, tender, guindar"
España,Tomar con las manos,"coger, agarrar"
Guatemala,Tomar con las manos,agarrar
México,Tomar con las manos,"agarrar, tomar, sujetar"
Puerto Rico,Tomar con las manos,"coger, agarrar, tomar"
España,Entrar en un vehículo,"coger, tomar, subir a"
Guatemala,Entrar en un vehículo,subirse
México,Entrar en un vehículo,"subirse, abordar (formal)"
Puerto Rico,Entrar en un vehículo,"montarse, entrar, meterse"
España,Raer con navaja o maquinilla la propia barba,afeitarse
Guatemala,Raer con navaja o maquinilla la propia barba,rasurarse
México,Raer con navaja o maquinilla la propia barba,"rasurarse, afeitarse"
Puerto Rico,Raer con navaja o maquinilla la propia barba,afeitarse
España,Dejar de funcionar correctamente un aparato,"estropearse, averiarse, romperse"
Guatemala,Dejar de funcionar correctamente un aparato,arruinarse
México,Dejar de funcionar correctamente un aparato,"descomponerse, arruinarse, echarse a perder"
Puerto Rico,Dejar de funcionar correctamente un aparato,dañarse
España,"Expresar a una persona desaprobación sobre su actuación o su comportamiento, mediante el tono, palabras y gestos de enojo","regañar, reñir, echar una bronca"
Guatemala,"Expresar a una persona desaprobación sobre su actuación o su comportamiento, mediante el tono, palabras y gestos de enojo",regañar
México,"Expresar a una persona desaprobación sobre su actuación o su comportamiento, mediante el tono, palabras y gestos de enojo","regañar, llamar la atención"
Puerto Rico,"Expresar a una persona desaprobación sobre su actuación o su comportamiento, mediante el tono, palabras y gestos de enojo",regañar
España,Faltar a clase de forma clandestina,"hacer pellas, hacer novillos, hacer rabonas, hacer borota, latar, fumarse la clase, marcharse, irse de pira, pirarse, darse la juyona (Canarias), hacer campana (Cataluña), hacer pirola (Zaragoza), picarse la clase (Huesca), pirar clase (Asturias), correrse o saltarse las clases (Cantabria), hacer fuchina o pelarse la clase (Valencia), latar (Galicia), colgar (clase) (Vigo), hacer pira (País Vasco), hacerse la piarda (Andalucía)"
Guatemala,Faltar a clase de forma clandestina,"capearse, irse de capiusa"
México,Faltar a clase de forma clandestina,"irse de pinta, pinteársela, volarse la clase, perreársela (norte)"
Puerto Rico,Faltar a clase de forma clandestina,"comer jobos, cortar clase (anticuado), irse de juyilanga (anticuado)"
España,Cortar con una sierra la madera u otra materia,serrar
Guatemala,Cortar con una sierra la madera u otra materia,serruchar
México,Cortar con una sierra la madera u otra materia,serruchar
Puerto Rico,Cortar con una sierra la madera u otra materia,"serrar, serruchar, aserruchar"
España,"Andar mal o con dificultad por daño, discapacidad o dolor en una pierna, en una pata o en un pie, inclinando el cuerpo hacia un lado más que hacia otro","cojear, renquear, andar renco, ir renco"
Guatemala,"Andar mal o con dificultad por daño, discapacidad o dolor en una pierna, en una pata o en un pie, inclinando el cuerpo hacia un lado más que hacia otro","renquear, chenquear (coloquial)"
México,"Andar mal o con dificultad por daño, discapacidad o dolor en una pierna, en una pata o en un pie, inclinando el cuerpo hacia un lado más que hacia otro","cojear, renguear, renquear"
Puerto Rico,"Andar mal o con dificultad por daño, discapacidad o dolor en una pierna, en una pata o en un pie, inclinando el cuerpo hacia un lado más que hacia otro",cojear
España,Expulsar el sudor a través de los poros de la piel,"sudar, transpirar (formal)"
Guatemala,Expulsar el sudor a través de los poros de la piel,"sudar, transpirar (formal)"
México,Expulsar el sudor a través de los poros de la piel,"sudar, transpirar (formal)"
