table_index,row_index,column,value
3,14,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')",repartidor
3,14,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado​
3,14,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')","educador, maestro de kínder, maestro de preescolar"
3,14,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')",contador
3,15,"('País', 'Artículo de Wikipedia')",Nicaragua
3,15,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')","repartidor, ""el de la entrega"""
3,15,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado
3,15,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')",maestra de kindergarden o de preescolar
3,15,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')",contador
3,16,"('País', 'Artículo de Wikipedia')",Panamá
3,16,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')","""el del delivery"", motorizado, ""el de las entregas"""
3,16,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado
3,16,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')","maestra de preescolar, seño(rita)"
3,16,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')","contador, contable"
3,17,"('País', 'Artículo de Wikipedia')",Paraguay
3,17,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')",delivery
3,17,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado
3,17,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')",maestra parvularia
3,17,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')",contador
3,18,"('País', 'Artículo de Wikipedia')",Perú
3,18,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')","repartidor, motorizado, delivery"
3,18,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado
3,18,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')",profesor de inicial
3,18,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')",contador
3,19,"('País', 'Artículo de Wikipedia')",Puerto Rico
3,19,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')","repartidor, mensajero"
3,19,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado
3,19,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')",maestro de preescolar
3,19,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')","contador, contable"
3,20,"('País', 'Artículo de Wikipedia')",Rep. Dominicana
3,20,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')","delivery, motorizado, mensajero"
3,20,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado
3,20,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')",profesor de kínder
